"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Exchange","mailingaddress","businessaddress","url"
"AABA","Altaba Inc.",60.39,"$36.57B",NA,"Technology","EDP Services","NASDAQ","140 E. 45TH STREET,15TH FLOOR,,NEW YORK NY 10017","ALTABA INC.,140 E. 45TH STREET 15TH FLOOR,,NEW YORK NY 10017,(646) 679-2000","https://www.sec.gov//Archives/edgar/data/1011006/000119312517065791/d293630d10k.htm"
"AAL","American Airlines Group, Inc.",32.04,"$14.75B",NA,"Transportation","Air Freight/Delivery Services","NASDAQ","4333 AMON CARTER BLVD,,FORT WORTH TX 75261-9616","4333 AMON CARTER BLVD,,FORT WORTH TX 76155,8179631234","https://www.sec.gov//Archives/edgar/data/4515/000000620118000009/a10k123117.htm"
"AAOI","Applied Optoelectronics, Inc.",21.91,"$431.58M",2013,"Technology","Semiconductors","NASDAQ","13139 JESS PIRTLE BLVD,,SUGAR LAND TX 77478","13139 JESS PIRTLE BLVD,,SUGAR LAND TX 77478,281-295-1800","https://www.sec.gov//Archives/edgar/data/1158114/000155837018001271/aaoi-20171231x10k.htm"
"AAON","AAON, Inc.",32.21,"$1.68B",NA,"Capital Goods","Industrial Machinery/Components","NASDAQ","2425 SOUTH YUKON,,TULSA OK 74107","2425 SOUTH YUKON,,TULSA OK 74107,9185832266","https://www.sec.gov//Archives/edgar/data/824142/000082414218000021/aaon2017annualreport.htm"
"AAPL","Apple Inc.",219.31,"$1059.25B",1980,"Technology","Computer Manufacturing","NASDAQ","ONE APPLE PARK WAY,,CUPERTINO CA 95014","ONE APPLE PARK WAY,,CUPERTINO CA 95014,(408) 996-1010","https://www.sec.gov//Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm"
"AAWW","Atlas Air Worldwide Holdings",52.48,"$1.34B",NA,"Transportation","Transportation Services","NASDAQ","2000 WESTCHESTER AVENUE,,PURCHASE NY 10577-2543","2000 WESTCHESTER AVENUE,,PURCHASE NY 10577-2543,9147018000","https://www.sec.gov//Archives/edgar/data/1135185/000156459018002824/aaww-10k_20171231.htm"
"AAXN","Axon Enterprise, Inc.",58.52,"$3.41B",NA,"Capital Goods","Ordnance And Accessories","NASDAQ","17800 N. 85TH ST.,,SCOTTSDALE AZ 85255","17800 N. 85TH ST.,,SCOTTSDALE AZ 85255,480-991-0797","https://www.sec.gov//Archives/edgar/data/1069183/000106918318000020/a10kaaxn123117.htm"
"ABCB","Ameris Bancorp",43.44,"$2.06B",1994,"Finance","Major Banks","NASDAQ","PO BOX 1500,,MOULTRIE GA 31776","24 2/ND/ AVENUE,,MOULTRIE GA 31768,9128901111","https://www.sec.gov//Archives/edgar/data/351569/000035156918000004/abcb12-31x201710xk.htm"
"ABCD","Cambium Learning Group, Inc.",14.4,"$680.5M",NA,"Consumer Services","Publishing","NASDAQ","17855 NORTH DALLAS PARKWAY, SUITE 400,,DALLAS TX 75287","17855 NORTH DALLAS PARKWAY, SUITE 400,,DALLAS TX 75287,214-932-9500","https://www.sec.gov//Archives/edgar/data/1466815/000146681518000016/abcd12311710-k.htm"
"ABDC","Alcentra Capital Corp.",5.94,"$80.37M",NA,NA,NA,"NASDAQ","200 PARK AVENUE,7TH FLOOR,,NEW YORK NY 10166","200 PARK AVENUE,7TH FLOOR,,NEW YORK NY 10166,212-922-8240","https://www.sec.gov//Archives/edgar/data/1578620/000114420418014693/tv487431-10k.htm"
"ABEO","Abeona Therapeutics Inc.",9.34,"$447.79M",NA,"Health Care","Major Pharmaceuticals","NASDAQ","3333 LEE PARKWAY,SUITE 600,,DALLAS TX 75219","3333 LEE PARKWAY,SUITE 600,,DALLAS TX 75219,2149055100","https://www.sec.gov//Archives/edgar/data/318306/000114420418015277/tv488183_10k.htm"
"ABIO","ARCA biopharma, Inc.",0.6272,"$8.73M",NA,"Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","NASDAQ","11080 CIRCLEPOINT ROAD,SUITE 140,,WESTMINSTER CO 80020","11080 CIRCLEPOINT ROAD,SUITE 140,,WESTMINSTER CO 80020,720-940-2200","https://www.sec.gov//Archives/edgar/data/907654/000156459018006566/abio-10k_20171231.htm"
"ABMD","ABIOMED, Inc.",362.42,"$16.26B",NA,"Health Care","Medical/Dental Instruments","NASDAQ","22 CHERRY HILL DRIVE,,DANVERS MA 01923","22 CHERRY HILL DR,,DANVERS MA 01923,9787775410","https://www.sec.gov//Archives/edgar/data/815094/000156459018014310/abmd-10k_20180331.htm"
"ABTX","Allegiance Bancshares, Inc.",40.12,"$536.31M",2015,"Finance","Major Banks","NASDAQ","8727 W. SAM HOUSTON PARKWAY N,,HOUSTON TX 77040","8727 W. SAM HOUSTON PARKWAY N,,HOUSTON TX 77040,281-894-3200","https://www.sec.gov//Archives/edgar/data/1642081/000164208118000031/a201710-kdoc.htm"
